Index,Raw_Value,Balanced_Value,Hex
403,36992,36992,0x9080
404,37056,37056,0x90c0
405,115792089237316195423570985008687907852837564279074904382605163141518161457281,-37056,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035b081
406,37184,37184,0x9140
407,115792089237316195423570985008687907852837564279074904382605163141518161457089,-37248,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035afc1
408,37248,37248,0x9180
409,37632,37632,0x9300
410,37664,37664,0x9320
411,37696,37696,0x9340
412,115792089237316195423570985008687907852837564279074904382605163141518161456641,-37696,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ae01
413,115792089237316195423570985008687907852837564279074904382605163141518161456001,-38336,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035ab81
414,38336,38336,0x95c0
415,38432,38432,0x9620
416,38464,38464,0x9640
417,38784,38784,0x9780
418,38912,38912,0x9800
419,39008,39008,0x9860
420,115792089237316195423570985008687907852837564279074904382605163141518161455329,-39008,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035a8e1
421,39712,39712,0x9b20
422,39744,39744,0x9b40
423,39904,39904,0x9be0
424,40352,40352,0x9da0
425,40512,40512,0x9e40
426,40992,40992,0xa020
427,41024,41024,0xa040
428,41216,41216,0xa100
429,115792089237316195423570985008687907852837564279074904382605163141518161453121,-41216,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035a041
430,41472,41472,0xa200
431,115792089237316195423570985008687907852837564279074904382605163141518161452801,-41536,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0359f01
432,41536,41536,0xa240
433,41632,41632,0xa2a0
434,41792,41792,0xa340
435,42272,42272,0xa520
436,42432,42432,0xa5c0
437,42592,42592,0xa660
438,43264,43264,0xa900
439,115792089237316195423570985008687907852837564279074904382605163141518161450881,-43456,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0359781
440,43456,43456,0xa9c0
441,43552,43552,0xaa20
442,115792089237316195423570985008687907852837564279074904382605163141518161450529,-43808,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0359621
443,43808,43808,0xab20
444,44064,44064,0xac20
445,44096,44096,0xac40
446,115792089237316195423570985008687907852837564279074904382605163141518161450241,-44096,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0359501
447,44192,44192,0xaca0
448,44384,44384,0xad60
449,44672,44672,0xae80
450,115792089237316195423570985008687907852837564279074904382605163141518161449409,-44928,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03591c1
451,44928,44928,0xaf80
452,115792089237316195423570985008687907852837564279074904382605163141518161449281,-45056,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0359141
453,45056,45056,0xb000
454,45632,45632,0xb240
455,45792,45792,0xb2e0
456,46112,46112,0xb420
457,46144,46144,0xb440
458,46208,46208,0xb480
459,115792089237316195423570985008687907852837564279074904382605163141518161448129,-46208,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0358cc1
460,46272,46272,0xb4c0
