Index,Candidate_Value_Hex,Candidate_Value_Dec
188,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03630c1,115792089237316195423570985008687907852837564279074904382605163141518161490113
189,0xb4258,737880
190,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03570d1,115792089237316195423570985008687907852837564279074904382605163141518161440977
191,0x22263,139875
192,0x5e268,385640
193,0x270,624
194,0x94278,606840
195,0x2283,8835
196,0x50288,328328
197,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd032f0fe,115792089237316195423570985008687907852837564279074904382605163141518161277182
198,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035f101,115792089237316195423570985008687907852837564279074904382605163141518161473793
199,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02d7102,115792089237316195423570985008687907852837564279074904382605163141518160916738
200,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0337101,115792089237316195423570985008687907852837564279074904382605163141518161309953
201,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02e7101,115792089237316195423570985008687907852837564279074904382605163141518160982273
202,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd026f101,115792089237316195423570985008687907852837564279074904382605163141518160490753
203,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd01cf101,115792089237316195423570985008687907852837564279074904382605163141518159835393
204,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0107101,115792089237316195423570985008687907852837564279074904382605163141518159016193
205,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0355102,115792089237316195423570985008687907852837564279074904382605163141518161432834
206,0xa28f,41615
207,0x36290,221840
208,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd030d109,115792089237316195423570985008687907852837564279074904382605163141518161137929
209,0xa428f,672399
210,0xa22a0,664224
211,0x2a3,675
212,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd034d119,115792089237316195423570985008687907852837564279074904382605163141518161400089
213,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361121,115792089237316195423570985008687907852837564279074904382605163141518161482017
214,0xa62b0,680624
215,0x202b8,131768
216,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0351131,115792089237316195423570985008687907852837564279074904382605163141518161416497
217,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0325132,115792089237316195423570985008687907852837564279074904382605163141518161236274
218,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0323132,115792089237316195423570985008687907852837564279074904382605163141518161228082
219,0x62c0,25280
220,0xca2c3,828099
221,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0333142,115792089237316195423570985008687907852837564279074904382605163141518161293634
222,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0313142,115792089237316195423570985008687907852837564279074904382605163141518161162562
223,0x82d0,33488
224,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363142,115792089237316195423570985008687907852837564279074904382605163141518161490242
225,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035b142,115792089237316195423570985008687907852837564279074904382605163141518161457474
226,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd034b142,115792089237316195423570985008687907852837564279074904382605163141518161391938
227,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02eb142,115792089237316195423570985008687907852837564279074904382605163141518160998722
228,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02bb142,115792089237316195423570985008687907852837564279074904382605163141518160802114
229,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0283142,115792089237316195423570985008687907852837564279074904382605163141518160572738
230,0x2d8,728
231,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02c5151,115792089237316195423570985008687907852837564279074904382605163141518160843089
232,0xe2e0,58080
233,0xa02e3,656099
234,0xd82e8,885480
235,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02f915e,115792089237316195423570985008687907852837564279074904382605163141518161056094
236,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035f161,115792089237316195423570985008687907852837564279074904382605163141518161473889
237,0x582f0,361200
238,0xe62f8,942840
239,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0331171,115792089237316195423570985008687907852837564279074904382605163141518161285489
240,0x24300,148224
241,0xa8303,688899
242,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02af179,115792089237316195423570985008687907852837564279074904382605163141518160753017
243,0x4308,17160
244,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd030f17e,115792089237316195423570985008687907852837564279074904382605163141518161146238
245,0x30f,783
246,0xce310,844560
247,0xf230f,992015
248,0xc6318,811800
249,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0311191,115792089237316195423570985008687907852837564279074904382605163141518161154449
250,0x12320,74528
251,0xde323,910115
252,0x2e328,189224
253,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd028f19e,115792089237316195423570985008687907852837564279074904382605163141518160621982
254,0x66330,418608
255,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02bd1a9,115792089237316195423570985008687907852837564279074904382605163141518160810409
256,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035d1b1,115792089237316195423570985008687907852837564279074904382605163141518161465777
257,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03591b2,115792089237316195423570985008687907852837564279074904382605163141518161449394
258,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02c31b2,115792089237316195423570985008687907852837564279074904382605163141518160834994
259,0x2340,9024
260,0xbc343,770883
261,0x348,840
262,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02df1be,115792089237316195423570985008687907852837564279074904382605163141518160949694
263,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03631c1,115792089237316195423570985008687907852837564279074904382605163141518161490369
264,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd032b1c1,115792089237316195423570985008687907852837564279074904382605163141518161260993
265,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02f91c1,115792089237316195423570985008687907852837564279074904382605163141518161056193
266,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd00dd1c1,115792089237316195423570985008687907852837564279074904382605163141518158844353
267,0x9e358,648024
268,0x7e360,516960
269,0x4e363,320355
270,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02db1d9,115792089237316195423570985008687907852837564279074904382605163141518160933337
271,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02bf1de,115792089237316195423570985008687907852837564279074904382605163141518160818654
272,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02c11e1,115792089237316195423570985008687907852837564279074904382605163141518160826849
273,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd034f1e9,115792089237316195423570985008687907852837564279074904382605163141518161408489
274,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0361d42,115792089237316195423570985008687907852837564279074904382605163141518161485122
275,0x9e380,648064
276,0x21a380,2204544
277,0x1c380,115584
278,0x383,899
279,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd032b1f9,115792089237316195423570985008687907852837564279074904382605163141518161261049
280,0xaa388,697224
281,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03611fe,115792089237316195423570985008687907852837564279074904382605163141518161482238
282,0x1c38f,115599
283,0x7238f,467855
284,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0279209,115792089237316195423570985008687907852837564279074904382605163141518160531977
285,0x18398,99224
286,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02a3211,115792089237316195423570985008687907852837564279074904382605163141518160704017
287,0x703a3,459683
288,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0289219,115792089237316195423570985008687907852837564279074904382605163141518160597529
289,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02ed21e,115792089237316195423570985008687907852837564279074904382605163141518161007134
290,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd033f229,115792089237316195423570985008687907852837564279074904382605163141518161343017
291,0x883b8,558008
292,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0307231,115792089237316195423570985008687907852837564279074904382605163141518161113649
293,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0345232,115792089237316195423570985008687907852837564279074904382605163141518161367602
294,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02f7232,115792089237316195423570985008687907852837564279074904382605163141518161048114
295,0x3c0,960
296,0x743c3,476099
297,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02ff239,115792089237316195423570985008687907852837564279074904382605163141518161080889
298,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd036323e,115792089237316195423570985008687907852837564279074904382605163141518161490494
299,0x283e3,164835
300,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0337259,115792089237316195423570985008687907852837564279074904382605163141518161310297
301,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd031925e,115792089237316195423570985008687907852837564279074904382605163141518161187422
302,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd031d269,115792089237316195423570985008687907852837564279074904382605163141518161203817
303,0x7fff,32767
304,0x1e3ff,123903
305,0x6e3ff,451583
306,0x5a3ff,369663
307,0x9c3ff,639999
308,0x383ff,230399
309,0x483ff,295935
310,0x2a3ff,173055
311,0x3ff,1023
312,0x23ff,9215
313,0x63ff,25599
314,0x10403,66563
315,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035f27e,115792089237316195423570985008687907852837564279074904382605163141518161474174
316,0x100000,1048576
317,0x440f,17423
318,0xc240f,795663
319,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02a9289,115792089237316195423570985008687907852837564279074904382605163141518160728713
320,0x92423,599075
321,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02cf299,115792089237316195423570985008687907852837564279074904382605163141518160884377
322,0xa428,42024
323,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035729e,115792089237316195423570985008687907852837564279074904382605163141518161441438
324,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02e52a1,115792089237316195423570985008687907852837564279074904382605163141518160974497
325,0x3e430,255024
326,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03492b2,115792089237316195423570985008687907852837564279074904382605163141518161384114
327,0x7643f,484415
328,0x843f,33855
329,0xac43f,705599
330,0x1a43f,107583
331,0x16443,91203
332,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02ef2b2,115792089237316195423570985008687907852837564279074904382605163141518161015474
333,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03632b9,115792089237316195423570985008687907852837564279074904382605163141518161490617
334,0x440,1088
335,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02f52be,115792089237316195423570985008687907852837564279074904382605163141518161040062
336,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035b2c1,115792089237316195423570985008687907852837564279074904382605163141518161457857
337,0x42450,271440
338,0x8c463,574563
339,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03612d9,115792089237316195423570985008687907852837564279074904382605163141518161482457
340,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03032de,115792089237316195423570985008687907852837564279074904382605163141518161097438
341,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd03552f1,115792089237316195423570985008687907852837564279074904382605163141518161433329
342,0x483,1155
343,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02932f9,115792089237316195423570985008687907852837564279074904382605163141518160638713
344,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02f12fe,115792089237316195423570985008687907852837564279074904382605163141518161023742
345,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd035d302,115792089237316195423570985008687907852837564279074904382605163141518161466114
346,0x2648f,156815
347,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0347302,115792089237316195423570985008687907852837564279074904382605163141518161376002
348,0x6048f,394383
349,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02f3302,115792089237316195423570985008687907852837564279074904382605163141518161031938
350,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02b1302,115792089237316195423570985008687907852837564279074904382605163141518160761602
351,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0353311,115792089237316195423570985008687907852837564279074904382605163141518161425169
352,0x4c4a0,312480
353,0x6c4a3,443555
354,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd034131e,115792089237316195423570985008687907852837564279074904382605163141518161351454
355,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0343321,115792089237316195423570985008687907852837564279074904382605163141518161359649
356,0xe44b0,935088
357,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0286d02,115792089237316195423570985008687907852837564279074904382605163141518160588034
358,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0363332,115792089237316195423570985008687907852837564279074904382605163141518161490738
359,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0281332,115792089237316195423570985008687907852837564279074904382605163141518160565042
360,0x24c0,9408
361,0xe4c3,58563
362,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd02d5339,115792089237316195423570985008687907852837564279074904382605163141518160909113
363,0x4c8,1224
364,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd029f33e,115792089237316195423570985008687907852837564279074904382605163141518160687934
365,0x9a4d8,632024
366,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0277351,115792089237316195423570985008687907852837564279074904382605163141518160524113
367,0x3c4e0,247008
368,0x2c4e3,181475
369,0xfffffffffffffffffffffffffffffffebaaedce6af48a03bbfd25e8cd0359359,115792089237316195423570985008687907852837564279074904382605163141518161449817
