timestamp,address,utxo_index,tx_hash,tx_output_n,value_btc,value_satoshi,confirmations,script
2026-08-23T00:08:23.057086,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,40,94a2f36c62224ff0c88f4688b7adba5d4c1050d899eb93896d203caadd9c54e3,0,5.46e-06,546,236,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057089,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,41,fe0e896027ba26fa7a4fe2b85c98e237423714bcf1fea612c8eedf5d16fb45a1,0,5.46e-06,546,240,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057091,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,42,dc0667ae463ed3ea36ee2da6dd47c14bcdce84ab490e310436b2cdb72be601a9,0,5.46e-06,546,279,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057093,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,43,4e3bb7afd8087fb52c04be58064e5fea9e6bcd5a7e3658c42d29288e8160512a,0,5.274e-05,5274,300,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057095,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,44,32776f909443267f1b9035e9efe92e2170f6ac4dcc39c52163354d2d2f6bbc4a,0,1e-05,1000,300,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057097,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,45,62195faf0afb39ebe0c6747014de9fa539727bd68fc5c2a24994f8ee3e163010,0,1e-05,1000,306,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057099,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,46,9f72d228f249f392d77d832f13cd0577a8ec13a861a1588e35ac47951fcc6899,0,5.46e-06,546,320,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057101,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,47,098abd469496860a7c328e7f57248eb9e70ccbbe35ccea9d5993150d99710b32,0,5.46e-06,546,337,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057103,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,48,bbf2526575c55c4b283642de118f2ebaa9a678967e021bc58cedd780829e12fe,0,5.46e-06,546,339,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057105,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,49,3e9b9f06a9ddb2786a69af04daa6817858663dc9866348428bbc325ebdfc8af0,0,5.46e-06,546,346,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057108,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,50,2f57aaac0939cb1fd9b5724186fa91a32024942c871d4fc83940b9fa514e7fae,0,5.46e-06,546,347,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057110,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,51,2f57aaac0939cb1fd9b5724186fa91a32024942c871d4fc83940b9fa514e7fae,1,5.46e-06,546,347,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057112,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,52,a76d7d9800e34bb4c6306de03cc757fdfc55c410e37cf2bd602c609030d0d1c3,0,5.46e-06,546,350,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057115,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,53,c3d76ae13c82f4e1dd8820b14d38bf9dba3f19ab960b541c8a04f1622ce663f5,0,5.46e-06,546,356,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057117,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,54,8ba3a536882b3b648619a168ca2c2c28650cda206f5690ce6979fa4a59a8d2a8,0,5.46e-06,546,358,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057119,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,55,4a572f33e92455bb7c1954d5b968835cd9ba0fac8b353a14a9d8e48b9e0c4193,0,5.46e-06,546,358,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057122,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,56,4a572f33e92455bb7c1954d5b968835cd9ba0fac8b353a14a9d8e48b9e0c4193,1,5.46e-06,546,358,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
2026-08-23T00:08:23.057124,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,57,caeb4b1b5c5211c2a7aeed203b2ec579f26f398ee7fd027f74deed87d2b1ad7b,0,5.46e-06,546,358,76a91462e907b15cbf27d5425399ebf6f0fb50ebb88f1888ac
